user_utterance,therapist_utterance,label
그 무게 때문에 최근에는 하루하루가 점점 힘들어지는 것 같아요.,내담자님의 일상이 과거부터 가지고 오신 내면의 무게로 인해 더욱 버거워지고 있군요.,Complex Reflection
"네, 매일을 견디는 게 점점 더 힘들어집니다.",내면의 무게로 인해 매일매일이 힘겹게 느껴지는 것에 대해 깊은 고민이 있으신 것 같군요.,Complex Reflection
"네, 진심으로 고민이 많아지고 있어요.",이 무게를 덜어내기 위해 시도해 본 방법이 있으신가요?,Open Question
"사실, 제가 해본 방법은 거의 없어요.",그럼 어떤 방법을 시도해보고 싶으신가요?,Open Question
정말 조금이라도 나아질 수 있다면 전문가의 도움을 받아보고 싶네요.,내담자님께서 전문가의 도움을 받아보고자 하는 생각이 앞으로 나아가는 데 중요한 역할을 할 수 있겠네요.,Complex Reflection
최근에 취업 스트레스를 비롯해 사소한 일에도 화를 잘 내고 과속하는 택시 기사님께 바로 화를 내거나 차에서 내리는 등 감정 조절이 어렵다는 걸 많이 느껴요.,"취업 스트레스와 사소한 일에도 화를 내며, 감정 조절이 어렵다고 느끼시는군요.",Simple Reflection
"네, 그리고 저는 자주 사람들과 비교하며 스스로를 판단하게 되고, 이런 제 모습을 진지하게 개선하고 싶어요.",자신을 다른 사람들과 비교하며 판단하게 되는 순간에 어떤 생각이 드시나요?,Open Question
"비교하게 되면 항상 저 자신이 부족하다고 느껴지고, 다른 사람들보다 못하다고 생각해요.",자신을 부족하다고 느끼게 하는 그 순간에 어떻게 대응하고 싶으신가요?,Open Question
저를 좀 더 긍정적으로 바라보려고 노력하고 싶어요.,본인을 긍정적으로 바라보려는 노력을 생각하시는 건 매우 의미 있는 일입니다.,Affirm
"그렇게 생각해 주셔서 감사합니다. 분명 처음은 어렵겠지만, 저 스스로도 변화할 수 있다는 믿음이 생기는 것 같아요.",변화를 위해 먼저 시도해보고 싶은 구체적인 방법이 있으신가요?,Open Question
일단은 제 감정이 동요될 때마다 기록해보고자 합니다.,감정이 동요될 때마다 기록하는 접근은 상황을 이해하고 관리하는 데 도움이 될 것입니다.,Give Information
"그럼 감정을 기록하면서, 왜 그런 감정이 드는지 깊게 생각해보려고 해요.",그 감정의 원인을 깊게 탐색하는 과정에서 자신에 대한 이해의 폭이 넓어질 것입니다.,Complex Reflection
"네, 사실은 요즘 제가 좋아하는 것들에 흥미를 잃어가는 것 같아서 걱정이에요.",그런 상황이면 정말 고민이 많으실 것 같네요.,Complex Reflection
"네, 정말 그래요. 이전에 겪었던 우울증이 다시 찾아올까 봐 두렵습니다.",우울증이 다시 찾아오는 것에 대해 걱정이 많으신 것 같네요.,Complex Reflection
"네, 그래서 이 시기를 어떻게 잘 넘길 수 있을지 방법을 찾고 싶어요.",이러한 상황을 극복하고자 하는 의지가 강하신 것 같습니다.,Complex Reflection
그렇습니다. 이 상황을 넘기고 다시 제 자신을 찾고 싶어요.,그 상황을 넘어서려는 의지가 분명 힘이 될 것입니다.,Complex Reflection
저도 그렇게 생각해요. 이 문제를 해결하려면 어떤 방법이 있을까요?,문제 해결을 위한 방법을 탐색하는 과정이 쉽지 않음을 잘 알고 계시는군요.,General
"네, 그래서 더 세심하게 접근하려고 노력 중입니다.",세심하게 접근하려는 노력이 이 상황을 극복하는 데 중요한 역할을 할 것임을 인식하고 계시네요.,Complex Reflection
"저도 그렇게 믿고 싶어요. 다만, 어떤 실질적인 행동을 취해야 할지 결정하는 게 어렵네요.",실질적인 행동을 결정하는 과정이 어려울 수 있음을 이해합니다.,Complex Reflection
어디서부터 시작해야 할지 모르겠어요.,내담자님의 현재 상태를 바탕으로 천천히 나아가려는 생각이 중요합니다.,General
"네, 그러면 지금 제 상황에서 할 수 있는 작은 시도부터 고민해보겠습니다.",지금 상황에서 할 수 있는 작은 시도를 고민하고 계시군요.,Simple Reflection
"맞아요, 일단 제가 좋아하는 것들에 대해 조금씩 다시 관심을 가지려고 해요.",관심을 가지려는 시도가 점점 자신감을 회복하는 데 도움이 될 것임을 느끼고 계시겠군요.,Complex Reflection
저는 최근에 학원 수업 때문에 크게 스트레스를 받고 있어요.,"그 스트레스가 학원 수업의 내용 때문인지, 아니면 다른 요인 때문인지에 대해 많이 고민하고 계시겠네요.",General
"네, 사실 내용 자체보다는 제가 수업 중에 잘못 대답하거나 모르는 걸 들킬까봐 더 불안해하는 것 같아요.",수업 중에 불안함을 느낄 때 어떻게 대처하시나요?,Open Question
주로 그냥 묵묵히 있으려고 노력해요.,수업 중에 불안할 때 묵묵히 계시는군요.,Simple Reflection
"네, 그리고 가끔 제가 모르는 걸 질문으로 돌려받을까 봐 걱정돼서 질문도 잘 안 하게 됩니다.",내담자님이 모르는 내용에 대해 질문하는 것에 대한 걱정이 있으셔서 자신을 표현하는 것이 어려우신 것 같군요.,Complex Reflection
"네, 사실 그게 제일 큰 문제인 것 같아요.",그 문제를 해결하기 위해 시도해본 방법이 있나요?,Open Question
아직 구체적으로 시도해본 건 없어요.,그 문제에 대해 어떻게 접근할 것인지 고민 중이시군요.,General
"네, 저만의 문제 해결 방법을 찾고 싶어서 여기 왔어요.",그 과정에서 자신만의 방법을 찾으려는 노력이 대단하신 것 같습니다.,Affirm
그냥 몸이랑 마음이 다 힘들다는 생각이 자꾸만 들어요.,몸과 마음이 힘들다고 느끼면 확실히 일상 생활에도 영향이 있겠네요.,General
"네, 정말 그런 것 같아요.",그럼 어떤 활동이나 일이 힘들 때 특히 더 어려우신가요?,Open Question
사실 제가 무언가를 집중해서 하려고 할 때 좀 더 어렵더라고요.,집중하는 데 어려움을 겪을 때 어떤 방식으로 자신을 도와보시려고 하셨나요?,Open Question
사실 몸이 급격히 반응할 때는 그 순간을 어떻게 다스리지 못하고 그냥 견뎌내려고 해요.,몸이 반응할 때마다 견디기만 하려고 노력하신다는 걸 알겠어요.,Complex Reflection
"네, 그러다 보니까 저 스스로를 조금 돌보지 못하는 것 같아서 걱정이 되네요.",스스로를 돌보지 못하고 있다고 걱정되시는군요.,Complex Reflection
그렇게 느껴질 때마다 저도 모르게 무기력해지는 것 같습니다.,무기력해지는 그 순간에 어떤 생각들이 머릿속을 가득 채우게 되나요?,Open Question
"그냥 이 상황을 벗어날 수 있을까, 이 상태가 계속될까봐 두려워요.","이 상황에서 벗어나고자 하는 열망이 있지만, 현재 상태가 지속될지 모른다는 두려움도 크시군요.",Complex Reflection
"네, 그 두려움이 저를 짓누르는 것 같아요.",현재의 두려움이 상당히 부담이 되고 계시다는 것을 느낄 수 있습니다.,Complex Reflection
"언제 어디서나 이런 상황이 벌어질까 봐, 외출도 조심스러워지고 있어요.",외출조차 조심스러워지고 있다고 느끼시는군요.,Simple Reflection
"네, 제가 조금이라도 나을 수 있을까 걱정됩니다.",조금 나아지기 위해 어떤 지원이나 조언이 필요하다고 생각하시나요?,Open Question
"아무래도 이 상황에 대해서 더 잘 알고, 대처 방법을 배울 수 있으면 좋겠어요.",상황을 이해하고 대처 방법을 배우고자 하는 욕구가 관건인 것으로 드러나네요.,General
폰을 해지하겠다는 부모님의 말씀이 계속 마음을 무겁게 해요.,그 소식을 들었을 때 정말 쉽지 않은 기분이 드셨겠어요.,Simple Reflection
"네, 정말 막막하고 절망적이었습니다.",그 상황에서 어떤 것이 가장 큰 걱정거리였나요?,Open Question
"투바투를 볼 수 없게 되면 내가 슬플 때, 위로받던 유일한 수단을 잃게 되는 거예요.",그러시군요. 투바투를 통해 받는 위로가 정말 중요한 존재가 되었었군요.,Complex Reflection
"그렇습니다, 투바투는 마음의 안식처 같은 존재였어요.",그 느낌은 잃고 싶지 않은 소중한 감정이었을 거예요.,Complex Reflection
"네, 정말 그렇습니다.",투바투를 볼 수 없을 때 새로운 안식처를 찾는 방법에 대해 생각해 보셨나요?,Open Question
아직 그런 방법에 대해선 진지하게 생각해 본 적이 없습니다.,그런 방법을 찾는 과정이 쉽지 않을 수도 있겠군요.,General
"네, 막연하게 느껴져서 시작하는 게 어렵네요.",시작하기 전에 느끼는 막연함은 자연스러운 반응이에요.,General
저도 그렇게 생각합니다.,어려운 감정을 겪으면서도 자신의 감정을 직면하고 이해하려는 내담자님의 용기가 인상적입니다.,Affirm
"감사합니다, 때때로 그 용기가 제 자신을 조금은 알아가는 데 도움이 되었던 것 같아요.",아직까지 자신을 알아가는 여정이 계속되고 있음을 알려주시는군요.,Complex Reflection
"새로운 일이 주어질 때 혼자서 해결하는 게 어렵고, 실수할까 봐 걱정돼요.",새로운 일에 도전할 때 느끼는 부담감이 있었군요.,Complex Reflection
"네, 그리고 그 부담감이 저를 더 큰 불안으로 몰아넣어요.",그 불안을 관리하기 위해 어떤 방법을 시도해 보셨나요?,Open Question
사실 별다른 방법을 시도해보지는 못했어요.,그렇다면 앞으로 시도해보고 싶은 방법이 있으신가요?,Open Question
"네, 작은 일부터 저 혼자 해결해보고 싶어요.",작은 일부터 혼자 해결해보고 싶다는 생각이 있으신군요.,Simple Reflection
"그렇습니다, 저는 작은 성공을 통해 자신감을 조금씩 쌓아가고 싶어요.",작은 성공을 통해 자신감을 쌓고 싶어하시는군요.,Simple Reflection
"네, 그 자신감이 저를 더 강하게 만들 것이라고 믿습니다.",그 자신감을 쌓기 위해 첫 번째로 시도하고 싶은 작은 일은 무엇인가요?,Open Question
일단 제가 혼자서 이메일을 관리하고 답장을 보내는 작업부터 시작해보려고 합니다.,이메일 관리와 답장 보내기 작업부터 시작해보려고 한다는 말씀이시군요.,Simple Reflection
"그렇습니다, 저는 그 과정에서 실수를 두려워하지 않으려고 합니다.",실수를 두려워하지 않으려는 생각이시군요.,Simple Reflection
"네, 실수도 제가 성장하는 과정의 일부라고 생각하려고 해요.",실수를 성장의 일부로 받아들이려는 태도는 매우 긍정적입니다.,Affirm
"네, 그리고 저는 이러한 태도가 저를 좀 더 독립적으로 만들어 줄 것이라고 생각합니다.",독립적인 태도를 향한 변화를 추구하고 계시는군요.,Complex Reflection
저는 사람들의 반응에 너무 민감하게 반응하는 제 자신을 발견하곤 합니다.,자신의 반응에 대해 깊이 생각해 보시는 시간을 가지고 계시군요.,General
"네, 그렇습니다. 왜 이렇게 남의 의견과 반응에 민감한지 곰곰이 생각해보게 되더라고요.",남의 의견과 반응에 민감하게 되는 순간에 어떤 느낌이 드시나요?,Open Question
그 순간은 마치 사람들이 저를 싫어하거나 저를 배제하고 있다는 생각에 휩싸이게 됩니다.,그 순간에 드는 생각이 내담자님을 많이 힘들게 하시는군요.,Simple Reflection
"네, 정말 그렇습니다. 그런 생각들 때문에 제가 진짜 하고 싶은 일이나 행동을 하지 못하게 되는 경우가 많아요.",내담자님의 진짜 하고 싶은 일이나 행동에 대한 고민이 깊어져 가는군요.,Complex Reflection
"네, 사실 저는 제 스스로 의사 결정을 하고 제 방식대로 행동하는 것이 두려워지기도 합니다.",내담자님은 그런 두려움을 극복하고 싶으신가요?,Closed Question
저는 제가 두려움 없이 제 방식대로 살아갈 수 있다면 정말 좋겠습니다.,두려움 없이 사는 삶을 상상하실 때 어떤 모습이 떠오르시나요?,Open Question
두려움 없이 산다면 저는 다른 사람의 반응에 구애받지 않고 저만의 가치와 취미를 추구하는 사람이 될 것 같습니다.,내면의 가치와 취미를 추구하고 싶은 마음이 분명하시군요.,Simple Reflection
"사실 최근엔 큰 변화가 있는 건 아닌데, 저 자신의 마음가짐이나 생각 때문에 매일이 힘듭니다.",그렇군요. 스스로의 생각과 마음가짐이 일상에 어려움을 주고 있군요.,Complex Reflection
"네, 정말 그렇습니다. 제 생각들이 제 마음을 무겁게 만들어요.",그 생각들이 어떤 식으로 마음을 무겁게 만드는지 설명해 줄 수 있을까요?,Open Question
"네, 어떤 때는 저 스스로에 대한 불신감이 커지면서 자기비하로 이어져요.",스스로에 대한 불신감과 자기비하가 마음을 어렵게 만드는군요.,Complex Reflection
"맞아요, 그런 생각들이 저를 굉장히 지치게 해요.",그런 생각들로 인해 지치는 경험을 하고 계시군요.,Simple Reflection
"네, 그리고 그런 생각들 때문에 사람들을 만날 때도 제가 제 모습을 잃어가는 것 같아요.",상호 작용하는 상황에서도 그 생각들이 내담자님을 방해하고 있는 것 같군요.,Complex Reflection
"네, 그래서 사람들과 대화할 때도 언제나 진심이 담기지 않는 것 같습니다.",그 생각들 때문에 진심을 전달하는 데도 어려움을 겪고 계시는군요.,Complex Reflection
"네, 진심을 전달하는 게 어렵게 느껴집니다.",상호 작용 속에서 진심을 전달하고 싶다는 욕구도 느끼고 계시는군요.,General
"안녕하세요, 저는 항상 밝은 성격이었는데 중학교 3학년 때 친구와의 문제로 심리적으로 매우 힘든 시간을 보냈습니다. 그 뒤로 우울증이 찾아왔는데, 제가 스스로를 너무 긍정적인 사람이라고 생각해서 우울증이 온 줄도 몰랐습니다.","친구와의 문제로 인해 힘든 시간을 보내신 뒤, 우울증을 인식하지 못하셨군요.",Complex Reflection
"네, 사실은 그때가 사춘기인 줄만 알고 그 상태를 넘기려고만 했습니다.","자신의 감정 변화를 사춘기의 일부로 받아들이며, 그 시기의 어려움을 넘기려고 애쓰셨네요.",Complex Reflection
"네, 그렇지만 지금 돌이켜보니 제 감정을 무시했던 건 큰 실수였다고 느껴집니다.",그 당시의 경험이 현재의 생각이나 감정에 어떤 영향을 주었는지 듣고 싶습니다.,Open Question
"지금 생각해보니, 그때의 경험은 지금의 저에게 무엇보다도 자신의 감정을 솔직하게 인정하고 받아들일 필요가 있다는 것을 가르쳐준 것 같습니다.",그때의 어려움이 내담자님께 자신의 감정을 솔직히 인정하고 받아들이는 중요성을 깨닫게 해주었군요.,Complex Reflection
"네, 그 과정이 쉽지는 않겠지만 이제부터라도 제 감정에 더 주의를 기울이려고 합니다.",감정에 주의를 기울여 나가려는 결정을 내리셨네요. 올바른 방향으로 나아가고 계십니다.,Affirm
"감사합니다, 이 길이 맞다는 확신이 생기니 조금은 마음이 가벼워지는 것 같습니다.",감정을 소중히 여기고 이에 대한 확신을 갖게 되셨음이 마음을 가볍게 만드는 데 도움이 되었군요.,Affirm
"네, 제 감정을 잘 관리하려고 노력하면 결국 좋은 결과로 이어질 거라고 생각합니다.",감정 관리를 위해 어떤 구체적인 방법을 생각하고 계신지 궁금해요.,Open Question
아마도 일기를 쓰거나 명상을 해보는 것부터 시작해볼까 합니다.,일기 쓰기와 명상을 통해 자신의 감정을 탐색하고 이해하려는 노력이 현재의 어려움을 극복하는 데 도움이 될 것입니다.,Complex Reflection
"네, 정말 많은 걸 겪으면서, 어떻게 해야 할지 모르겠어요.",그동안 많이 고민하고 힘드셨겠어요.,General
"네, 정확해요. 이 모든 감정을 어떻게 다 관리해야 할지 모르겠어요.",감정을 관리하는 게 막막하시군요.,Complex Reflection
"네, 그래서 더욱 답답합니다.",답답함을 느끼시면서도 상황을 개선하고 싶은 마음이 있으신 것 같습니다.,Complex Reflection
"네, 개선하고 싶은 마음이 있어요.",감정 관리를 위해 내담자님이 생각하시는 구체적인 방법이 있을까요?,Open Question
아직 구체적인 방법이 떠오르지는 않아요.,감정을 기록하는 건 어떻게 생각하시나요?,Closed Question
기록이라... 그게 도움이 될지 모르겠지만 시도해볼 수 있을 것 같아요.,"시도해 보신다니, 어떤 변화가 일어날지 함께 지켜보는 것도 의미있을 것 같습니다.",General
"네, 시작은 작게 해서라도 변화를 경험해보고 싶어요.",변화를 경험하고자 하는 의지가 중요합니다.,Affirm
"안녕하세요, 상담사님. 최근 몇 달 동안 직장에서의 실수와 후회 메운 일들이 머리에서 떠나지 않아서요.",그 상황들이 정말 마음에 큰 부담을 주고 있었네요.,Complex Reflection
"네, 정말 그렇습니다. 머리를 비우려고 해도 계속 생각이 나더라고요.",계속되는 생각으로 마음의 여유를 찾기 어려웠겠어요.,Complex Reflection
"맞아요, 생각이 끊이지 않아서 잠도 제대로 못 자는 날이 많아요.",잠을 제대로 못 주무시는 건 그 생각들로 인해 심적으로 피로하실 것 같아요.,Complex Reflection
"그렇습니다, 그런 생각들 때문에 낮에도 계속 피로하게 느껴져요.",실수와 후회로 인한 생각들이 일상생활에도 영향을 미치고 있었군요.,Complex Reflection
"네, 일과 가정에서 제 역할을 제대로 못하는 것 같아 더욱 스트레스를 받습니다.",업무와 가정에서의 역할 충족에 대한 압박감이 스트레스로 다가오고 있네요.,Complex Reflection
"저도 그렇게 느껴요, 마음이 지치는 걸 넘어서 건강까지 염려되기 시작했습니다.",내담자님의 건강까지 염려되는 상황에서 심리적 압박감이 상당하신 것 같군요.,Complex Reflection
"네, 마음과 몸이 모두 힘들어지는 기분입니다.",마음과 몸 모두 힘들어지는 상태이시군요.,Simple Reflection
이 상황을 어떻게 변화시킬 수 있을지 고민하고 있어요.,이 상황에서 어떤 방향으로 나아가고 싶은지 말씀해주실 수 있나요?,Open Question
"직장에서의 실수를 수용하고, 실수에서 배울 수 있는 점을 찾고 싶어요.",실수를 수용하고 배울 점을 찾는 과정에서 중요하게 생각하는 것은 무엇인가요?,Open Question
저 자신을 너무 혹독하게 다루지 않으려고 노력하고 싶어요.,자신을 혹독하게 다루지 않으려는 노력이 중요하게 여겨지고 있군요.,Complex Reflection
최근에도 저는 이 세상 사람들이 저를 싫어한다는 생각에 사로잡혀 있어요.,그런 생각이 드셨을 때 느끼시는 감정이 굉장히 복잡하실 것 같아요.,Complex Reflection
"네, 정말 복잡하고 마음이 무겁습니다.",그 감정을 조금 더 설명해 주실 수 있나요?,Open Question
그냥 모두에게 버림받은 기분이 들고 외롭기까지 합니다.,버림받았다고 느낄 정도로 외로움이 크게 다가오시는군요.,Complex Reflection
"네, 가끔씩 세상 전체에 홀로 방치된 것 같은 기분이 들어요.",세상에 완전히 홀로 남겨진 것 같은 심각한 고립감을 경험하고 계시는군요.,Complex Reflection
맞아요. 그래서 때때로 정말 힘들어요.,그런 상황에서 어떤 것이 조금이나마 위안이 되시나요?,Open Question
사실 그냥 조용히 음악을 듣거나 책을 읽는 거요.,음악을 듣거나 책을 읽을 때 어떤 점이 내담자님께 위안이 되나요?,Open Question
그럴 때는 잠시나마 혼자만의 세상에서 문제들로부터 벗어날 수 있어요.,혼자만의 시간에 음악이나 책을 통해 잠시나마 문제로부터 벗어날 수 있다는 말씀이시군요.,Simple Reflection
"네, 그 짧은 시간이 저에겐 정말 소중합니다.",그 짧은 시간이 정말 소중하다고 느끼시는군요.,Simple Reflection
"네, 그 시간만큼은 제 문제를 잊을 수 있으니까요.",문제를 잊고 평화를 느낄 수 있는 그 순간이 내담자님에게 큰 안식처가 되시는 것 같습니다.,Complex Reflection
정확히 말씀하셨어요. 그 시간들이 제게 큰 힘이 됩니다.,"그 시간들이 힘이 되신다니, 내담자님에게 정말 의미 있는 순간들이시군요.",Complex Reflection
요즘 제가 할 수 있는 일과 못하는 일 사이의 괴리감에 대해 많이 생각해요.,그 사이에서 고민하는 것은 쉽지 않은 일이실 거예요.,General
"네, 정말 힘든 과정입니다.",그 고민 속에서 내담자님이 느끼는 감정에 대해 좀 더 자세히 말씀해 주실 수 있나요?,Open Question
저는 답답함과 짜증이 교차하면서 때로는 절망감까지 느껴요.,감정의 롤러코스터를 경험하는 것은 아주 큰 도전이 될 수 있어요.,Complex Reflection
그런 감정들 때문에 더 소극적인 태도를 취하게 되는 것 같아요.,소극적인 태도를 취하게 되는 어려움은 많은 사람들이 공감할 수 있는 부분일 거예요.,General
"네, 그래서 혼자만의 문제라고 생각하지 않으려 해도, 제 상황이 특히 힘들게 느껴집니다.","내담자님의 상황이 특별히 어렵게 느껴지는 건, 많은 감정들이 교차하면서 어려움을 겪고 계시기 때문이군요.",Complex Reflection
"맞아요, 감정들이 서로 엉키면서 어떤 방향으로 가야 할지 잃어버린 기분입니다.",감정들이 서로 엉키면서 방향을 잃게 하는 상황에 계시는군요.,Complex Reflection
"네, 그래서 저도 어떻게 해야 할지 모르겠어요.",이런 감정들을 해결하기 위해 어떤 접근을 시도해 보셨나요?,Open Question
제가 할 수 있는 일부터 조금씩 시도해 보려고 했어요.,어려운 순간에도 조금씩 시도해 보려는 노력을 하고 계시군요.,Affirm
여자친구가 계속되는 실패와 주변의 시선 때문에 우울증이 심해지는 상황입니다.,그 상황에서도 여자친구를 생각하는 심정이 참 따뜻하네요.,Affirm
"그렇긴 한데, 여자친구를 지켜보기만 해도 너무 마음이 아픕니다.",내담자님은 여자친구의 어려움을 함께 느끼며 그녀의 고통에 깊이 공감하고 계시네요.,Complex Reflection
